oai:ecommons.cornell.edu:1813/29812,Historical sketch of the American Board of Commissioners for Foreign Missions,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 64.,,Pamphlets
oai:ecommons.cornell.edu:1813/29813,"Sermon at Norwich, Conn.",,"Sermon delivered at the Annual Meeting of the American Missionary Association at Norwich, Conn. In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 64.",,Pamphlets
oai:ecommons.cornell.edu:1813/29814,"Address delivered at the annual meeting of the American Missionary Association, Norwich, Conn.",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 64.,,Pamphlets
oai:ecommons.cornell.edu:1813/29815,Report of the special committee on the expenditures and finances of the board,"Report of the American Board of Commissioners for Foreign Missions presented at Springfield, Massachusetts, October 1862.",In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 64.,,Pamphlets
oai:ecommons.cornell.edu:1813/29816,Fifty years' work amongst young men in all lands,A review of the work of the Young Men's Christian Associations.,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 65.,,Pamphlets
oai:ecommons.cornell.edu:1813/29817,Church work among white settlers beyond the sea,"Pan-Anglican Papers. Being problems for consideration at the Pan-Anglican Congress, 1908.",In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 65.,,Pamphlets
oai:ecommons.cornell.edu:1813/29818,The centenary volume of the Baptist Missionary Society 1792-1892,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 65.,,Pamphlets
oai:ecommons.cornell.edu:1813/29819,"A voice from Bombay in western India, in behalf of the spiritual wants of a population of 550,000 souls in heathen darkness",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 66.,,Pamphlets
oai:ecommons.cornell.edu:1813/29820,An appeal to Christians in behalf of China,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 66.,,Pamphlets
oai:ecommons.cornell.edu:1813/29821,The Japanese view of Christianity; Liberal Judaism and its future,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 67.,,Pamphlets
oai:ecommons.cornell.edu:1813/29822,"View of the missions, funds, expenditures and prospects, of the American Board of Commissioners for Foreign Missions",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 67.,,Pamphlets
oai:ecommons.cornell.edu:1813/29823,The day breaking; or light in dark lands,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 67.,,Pamphlets
oai:ecommons.cornell.edu:1813/29824,Official and lay witness to the value of foreign missions,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 67.,,Pamphlets
oai:ecommons.cornell.edu:1813/29825,Suggestions to leaders for the class session: the uplift of China,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 67.,,Pamphlets
oai:ecommons.cornell.edu:1813/29826,"Life and labours of Robert Moffat, D. D., missionary in South Africa",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 67.,,Pamphlets
oai:ecommons.cornell.edu:1813/29827,"The Christian Retrospect and Register: a summary of the scientific, moral and religious progress of the first half of the xixth [nineteenth] century",,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 68.,,Pamphlets
oai:ecommons.cornell.edu:1813/29828,The incoming millions,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 68.,,Pamphlets
oai:ecommons.cornell.edu:1813/29829,The church missionary quarterly token. Volume III,,Dated 1874-1878. In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 68.,,Pamphlets
oai:ecommons.cornell.edu:1813/29830,Under his banner: papers on the missionary work of modern times,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 68.,,Pamphlets
oai:ecommons.cornell.edu:1813/29831,Manual for missionary candidates of the American Board of Commissioners for Foreign Missions,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 68.,,Pamphlets
oai:ecommons.cornell.edu:1813/29832,Statements respecting the necessities and claims of the missions and missionaries,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 68.,,Pamphlets
oai:ecommons.cornell.edu:1813/29833,"A comparison of the apostolic age with the present, in respect to facilities for conducting missionary operations",American Board of Commissioners for Foreign Missions Missionary Paper No. V.,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 68.,,Pamphlets
oai:ecommons.cornell.edu:1813/29834,The oriental churches and Mohammedans,American Board of Commissioners for Foreign Missions Missionary Paper No. 11.,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 68.,,Pamphlets
oai:ecommons.cornell.edu:1813/29835,Statement of reasons in favor of larger contributions for the support of the missions under the care of the American Board of Commissioners for Foreign Missions,,In a volume lettered: China and the Chinese: a collection of pamphlets relating thereto. Volume 68.,,Pamphlets
